task;model_name;train_epochs;train_batch;train_lr;train_maxlen;precision;use_lora;eval_style;avg_val_loss;accuracy;mcc;f1;training_time;learning_rate_scheduler_type;warmup_steps;num_fewshot;timestamp
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.1471468210220337;0.4563106796116505;0.1942666667720311;0.4447451307326688;0h:18m:6s;linear;1.0;na;2025_10_19_21_04_09
cb;elte-nlp/Racka-4B;10;2;2e-05;1024;fp16;True;standard;1.2691293954849243;0.3495145631067961;0.0319786953524233;0.3347493996747055;0h:18m:13s;linear;1.0;na;2025_10_19_21_04_09
cb;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;1.020093560218811;0.4951456310679611;0.2768935797818667;0.4952162400706089;0h:18m:18s;linear;1.0;na;2025_10_21_08_47_29
cb;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.9862226247787476;0.5825242718446602;0.3961297112489286;0.5845072309629918;0h:17m:40s;linear;1.0;na;2025_10_21_08_47_29
cb;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.9873688220977784;0.5436893203883495;0.3608503318480903;0.5446030839520274;0h:18m:39s;linear;1.0;na;2025_10_21_08_47_29
cb;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.9836445450782776;0.5339805825242718;0.3508813498369369;0.5279060949989434;0h:19m:31s;linear;1.0;na;2025_10_21_08_47_29
cb;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;1.0909000635147097;0.4271844660194174;0.2118651159181028;0.4157296294062862;0h:19m:11s;linear;1.0;na;2025_10_21_08_47_29
cb;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;1.0477250814437866;0.4563106796116505;0.2141119011550891;0.4528052891241733;0h:19m:0s;linear;1.0;na;2025_10_21_08_47_29
cb;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;1.035771369934082;0.5145631067961165;0.3304792087943567;0.5126364148702648;0h:19m:1s;linear;1.0;na;2025_10_21_08_47_29
cb;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.9979173541069032;0.4854368932038835;0.3041859658906053;0.4949354852267473;0h:18m:14s;linear;1.0;na;2025_10_21_08_47_29
cb;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.9390187859535216;0.5631067961165048;0.3579490362915777;0.5526436555798246;0h:19m:1s;linear;1.0;na;2025_10_21_08_47_29
cb;Qwen/Qwen3-4B;10;2;2e-05;1024;fp16;True;standard;0.9130027294158936;0.5922330097087378;0.390170769212138;0.5964346442872032;0h:18m:6s;linear;1.0;na;2025_10_21_08_47_29
cb;Qwen/Qwen3-4B-Base;10;2;2e-05;1024;fp16;True;standard;1.0973341464996338;0.4466019417475728;0.2270636860216337;0.426122323720248;0h:19m:17s;linear;1.0;na;2025_10_21_12_18_17
cb;Qwen/Qwen3-4B-Base;10;2;2e-05;1024;fp16;True;standard;1.1299232244491575;0.4077669902912621;0.1668642685227774;0.4051006916554207;0h:19m:26s;linear;1.0;na;2025_10_21_12_18_17
cb;Qwen/Qwen3-4B-Base;10;2;2e-05;1024;fp16;True;standard;1.231340408325195;0.4951456310679611;0.2911368207937139;0.4183289202706677;0h:18m:9s;linear;1.0;na;2025_10_21_12_18_17
cb;Qwen/Qwen3-4B-Base;10;2;2e-05;1024;fp16;True;standard;1.1189409494400024;0.4951456310679611;0.3327612676768954;0.4848204654029897;0h:19m:29s;linear;1.0;na;2025_10_21_12_18_17
cb;Qwen/Qwen3-4B-Base;10;2;2e-05;1024;fp16;True;standard;1.2999557256698608;0.3689320388349514;0.0484002848541577;0.3245466356450929;0h:18m:14s;linear;1.0;na;2025_10_21_12_18_17
cb;Qwen/Qwen3-4B-Base;10;2;2e-05;1024;fp16;True;standard;0.9651577472686768;0.5145631067961165;0.3847393340084516;0.5138233463699059;0h:18m:57s;linear;1.0;na;2025_10_21_12_18_17
cb;Qwen/Qwen3-4B-Base;10;2;2e-05;1024;fp16;True;standard;1.1465253829956057;0.4174757281553398;0.1756665446164008;0.4113843385688046;0h:18m:59s;linear;1.0;na;2025_10_21_12_18_17
cb;Qwen/Qwen3-4B-Base;10;2;2e-05;1024;fp16;True;standard;1.070028305053711;0.5339805825242718;0.3046592855556629;0.5093181216867197;0h:18m:37s;linear;1.0;na;2025_10_21_12_18_17
cb;Qwen/Qwen3-4B-Base;10;2;2e-05;1024;fp16;True;standard;1.1671940088272097;0.4368932038834951;0.2247998226118477;0.4293100804239529;0h:18m:32s;linear;1.0;na;2025_10_21_12_18_17
cb;Qwen/Qwen3-4B-Base;10;2;2e-05;1024;fp16;True;standard;1.0028694868087769;0.47572815533980584;0.2459053210700085;0.4703852421121241;0h:18m:58s;linear;1.0;na;2025_10_21_12_18_17
